city,year,mention_count
Tampere,1989,99
Tampere,1990,112
Tampere,1991,78
Tampere,1992,109
Tampere,1993,124
Tampere,1994,95
Tampere,1995,77
Tornio,1986,12
Tornio,1987,16
Tornio,1988,16
Tornio,1989,13
Tornio,1990,9
Tornio,1991,9
Tornio,1992,5
Tornio,1993,13
Tornio,1994,8
Tornio,1995,10
Turku,1986,178
Turku,1987,173
Turku,1988,164
Turku,1989,135
Turku,1990,121
Turku,1991,90
Turku,1992,100
Turku,1993,154
Turku,1994,88
Turku,1995,68
Ulvila,1986,2
Uusikaupunki,1986,1
Uusikaupunki,1987,5
Uusikaupunki,1988,1
Uusikaupunki,1989,1
Uusikaupunki,1991,1
Uusikaupunki,1993,3
Uusikaupunki,1994,1
Vaasa,1986,50
Vaasa,1987,36
Vaasa,1988,32
Vaasa,1989,23
Vaasa,1990,49
Vaasa,1991,47
Vaasa,1992,20
Vaasa,1993,38
Vaasa,1994,15
Vaasa,1995,8
Valkeakoski,1986,7
Valkeakoski,1987,3
Valkeakoski,1988,6
Valkeakoski,1989,6
Valkeakoski,1990,26
Valkeakoski,1992,1
Valkeakoski,1993,1
Valkeakoski,1994,2
Valkeakoski,1995,7
Vantaa,1986,34
Vantaa,1987,24
Vantaa,1988,38
Vantaa,1989,37
Vantaa,1990,26
Vantaa,1991,27
Vantaa,1992,21
Vantaa,1993,13
Vantaa,1994,28
Vantaa,1995,20
Varkaus,1986,19
Varkaus,1987,2
Varkaus,1988,8
Varkaus,1989,2
Varkaus,1990,9
Varkaus,1991,2
Varkaus,1992,4
Varkaus,1993,8
Varkaus,1994,9
Varkaus,1995,9
Viitasaari,1986,3
Viitasaari,1987,4
Viitasaari,1990,1
Viitasaari,1992,1
Viitasaari,1993,1
Virrat,1986,3
Virrat,1987,5
Virrat,1988,1
Virrat,1989,1
Virrat,1991,1
Ylivieska,1986,3
Ylivieska,1987,5
Ylivieska,1988,1
Ylivieska,1989,3
Ylivieska,1990,4
Ylivieska,1992,1
Ylivieska,1993,4
Ylöjärvi,1987,3
Ylöjärvi,1988,3
Ylöjärvi,1990,3
Ähtäri,1987,2
Ähtäri,1988,1
Ähtäri,1991,1
Ähtäri,1992,1
Äänekoski,1986,9
Äänekoski,1987,3
Äänekoski,1988,7
Äänekoski,1990,3
Äänekoski,1992,1
Äänekoski,1993,4
Äänekoski,1995,2
