"Kunta","Vuosi","Kuntien tunnusluvut"
"Heinola",2008,20545
"Heinola",2009,20374
"Heinola",2010,20258
"Heinola",2011,20164
"Heinola",2012,20051
"Heinola",2013,19979
"Helsinki",1986,485626
"Helsinki",1987,487428
"Helsinki",1988,489929
"Helsinki",1989,489982
"Helsinki",1990,490691
"Helsinki",1991,492487
"Helsinki",1992,497542
"Helsinki",1993,508588
"Helsinki",1994,515765
"Helsinki",1995,525031
"Helsinki",2004,559046
"Helsinki",2005,560905
"Helsinki",2006,564521
"Helsinki",2007,568531
"Helsinki",2008,574564
"Helsinki",2009,583350
"Helsinki",2010,588549
"Helsinki",2011,595384
"Helsinki",2012,603968
"Helsinki",2013,612664
"Himanka",1986,3346
"Himanka",1987,3346
"Himanka",1988,3331
"Himanka",1989,3335
"Himanka",1990,3336
"Himanka",1991,3356
"Himanka",1992,3364
"Himanka",1993,3407
"Himanka",1994,3392
"Himanka",1995,3376
"Himanka",2004,3113
"Himanka",2005,3084
"Himanka",2006,3040
